DATE;DAY;HOLIDAY;HOLIDAY_NAME;VOLUME
04/12/2022;Sunday;0; na ;45441.64
05/12/2022;Monday;1; Natal ;52138.03
06/12/2022;Tuesday;0; na ;53482.73
07/12/2022;Wednesday;0; na ;54333.54
08/12/2022;Thursday;0; na ;53604.08
09/12/2022;Friday;0; na ;54895.81
10/12/2022;Saturday;0; na ;50911.89
11/12/2022;Sunday;0; na ;47478.51
12/12/2022;Monday;0; na ;51426.18
13/12/2022;Tuesday;0; na ;54230.25
14/12/2022;Wednesday;0; na ;55521.66
15/12/2022;Thursday;0; na ;53587.98
16/12/2022;Friday;0; na ;55688.5
17/12/2022;Saturday;0; na ;50074.59
18/12/2022;Sunday;0; na ;42051.95
19/12/2022;Monday;0; na ;47948.88
20/12/2022;Tuesday;0; na ;48588.29
21/12/2022;Wednesday;0; na ;48882.63
22/12/2022;Thursday;0; na ;50010.08
23/12/2022;Friday;0; na ;49597.95
24/12/2022;Saturday;0; na ;43191.56
25/12/2022;Sunday;0; na ;37085.31
26/12/2022;Monday;0; na ;44375.99
27/12/2022;Tuesday;0; na ;43541.63
28/12/2022;Wednesday;0; na ;44045.93
29/12/2022;Thursday;0; na ;41285.95
30/12/2022;Friday;0; na ;36209.09
31/12/2022;Saturday;0; na ;32846.34
01/01/2023;Sunday;1; Tahun Baru ;34928.8
02/01/2023;Monday;0; na ;42523.49
03/01/2023;Tuesday;0; na ;47886.36
04/01/2023;Wednesday;0; na ;52657.44
05/01/2023;Thursday;0; na ;54113.56
06/01/2023;Friday;0; na ;52313.81
07/01/2023;Saturday;0; na ;49245.89
08/01/2023;Sunday;0; na ;44941.04
09/01/2023;Monday;0; na ;49607.36
10/01/2023;Tuesday;0; na ;51531.02
11/01/2023;Wednesday;0; na ;51005.89
12/01/2023;Thursday;0; na ;49917.93
13/01/2023;Friday;0; na ;50237.37
14/01/2023;Saturday;0; na ;46987.49
15/01/2023;Sunday;0; na ;41386.42
16/01/2023;Monday;0; na ;48385.58
17/01/2023;Tuesday;0; na ;50429.38
18/01/2023;Wednesday;0; na ;50930.28
19/01/2023;Thursday;0; na ;50745
20/01/2023;Friday;0; na ;52514.14
21/01/2023;Saturday;0; na ;50611.7
22/01/2023;Sunday;1; Imlek ;44365.23
23/01/2023;Monday;1; Imlek ;55039.67
24/01/2023;Tuesday;0; na ;55518.87
25/01/2023;Wednesday;0; na ;56106.71
26/01/2023;Thursday;0; na ;54838.26
27/01/2023;Friday;0; na ;55134.48
28/01/2023;Saturday;0; na ;50079.15
29/01/2023;Sunday;0; na ;46137.54
30/01/2023;Monday;0; na ;51868.49
31/01/2023;Tuesday;0; na ;52882.33
01/02/2023;Wednesday;0; na ;50541.1
02/02/2023;Thursday;0; na ;51437.39
03/02/2023;Friday;0; na ;51758.84
04/02/2023;Saturday;0; na ;48538.4
05/02/2023;Sunday;0; na ;41805.08
06/02/2023;Monday;0; na ;49565.43
07/02/2023;Tuesday;0; na ;53844.66
08/02/2023;Wednesday;0; na ;53745.93
09/02/2023;Thursday;0; na ;54363.69
10/02/2023;Friday;0; na ;54354.3
11/02/2023;Saturday;0; na ;51435.97
12/02/2023;Sunday;0; na ;42295.02
13/02/2023;Monday;0; na ;51427.7
14/02/2023;Tuesday;0; na ;55053.31
15/02/2023;Wednesday;0; na ;56487.62
16/02/2023;Thursday;0; na ;57259.76
17/02/2023;Friday;0; na ;51350.59
18/02/2023;Saturday;1; Isra Mikraj ;46714.95
19/02/2023;Sunday;0; na ;45087.23
20/02/2023;Monday;0; na ;54064.64
21/02/2023;Tuesday;0; na ;56422.79
22/02/2023;Wednesday;0; na ;57268.53
23/02/2023;Thursday;0; na ;56832.78
24/02/2023;Friday;0; na ;56110.8
25/02/2023;Saturday;0; na ;52184.94
26/02/2023;Sunday;0; na ;45078.28
27/02/2023;Monday;0; na ;52090.59
28/02/2023;Tuesday;0; na ;58782.4
01/03/2023;Wednesday;0; na ;50448.77
02/03/2023;Thursday;0; na ;51658.03
03/03/2023;Friday;0; na ;51800.58
04/03/2023;Saturday;0; na ;47145.2
05/03/2023;Sunday;0; na ;41830.19
06/03/2023;Monday;0; na ;54576.84
07/03/2023;Tuesday;0; na ;53518.56
08/03/2023;Wednesday;0; na ;51374.77
09/03/2023;Thursday;0; na ;52754.24
10/03/2023;Friday;0; na ;54732.43
11/03/2023;Saturday;0; na ;52672.95
12/03/2023;Sunday;0; na ;45891.04
13/03/2023;Monday;0; na ;54029.58
14/03/2023;Tuesday;0; na ;56882.41
15/03/2023;Wednesday;0; na ;57234.92
16/03/2023;Thursday;0; na ;55858.45
17/03/2023;Friday;0; na ;54603.81
18/03/2023;Saturday;0; na ;50339.73
19/03/2023;Sunday;0; na ;45913.77
20/03/2023;Monday;0; na ;54475.4
21/03/2023;Tuesday;0; na ;55916.1
22/03/2023;Wednesday;1; Nyepi ;48862.36
23/03/2023;Thursday;1; Nyepi ;50378.88
24/03/2023;Friday;0; na ;53045.17
25/03/2023;Saturday;0; na ;51086.15
26/03/2023;Sunday;0; na ;45327.26
27/03/2023;Monday;0; na ;48944.3
28/03/2023;Tuesday;0; na ;53623.99
29/03/2023;Wednesday;0; na ;51869.16
30/03/2023;Thursday;0; na ;51774.56
31/03/2023;Friday;0; na ;52468.37
01/04/2023;Saturday;0; na ;49432.37
02/04/2023;Sunday;0; na ;45197.96
03/04/2023;Monday;0; na ;52049.7
04/04/2023;Tuesday;0; na ;50273.48
05/04/2023;Wednesday;0; na ;52803.36
06/04/2023;Thursday;0; na ;54769.69
07/04/2023;Friday;1; Wafat Isa Almasih ;48534.85
08/04/2023;Saturday;0; na ;48642.48
09/04/2023;Sunday;0; na ;46168.1
10/04/2023;Monday;0; na ;51907.94
11/04/2023;Tuesday;0; na ;52025.92
12/04/2023;Wednesday;0; na ;50585.28
13/04/2023;Thursday;0; na ;49611.6
14/04/2023;Friday;0; na ;51137.8
15/04/2023;Saturday;0; na ;45345.99
16/04/2023;Sunday;0; na ;38848.92
17/04/2023;Monday;0; na ;44701.17
18/04/2023;Tuesday;0; na ;41546.62
19/04/2023;Wednesday;1; Idul Fitri ;34456.74
