DATE,FORECAST,ACTUAL
2022-11-05,47596.77708409326,48049.76
2022-11-06,43532.40165633385,42347.43
2022-11-07,49557.165424775914,49691.79
2022-11-08,51330.3550090768,52039.7
2022-11-09,51227.218202566095,50795.25
2022-11-10,51243.321851946246,52579.26
2022-11-11,51105.60229687372,57999.92
2022-11-12,47644.56382693796,48072.04
2022-11-13,43580.188399094135,44033.89
2022-11-14,49604.952167470066,49294.2
2022-11-15,51378.14175170455,54026.16
2022-11-16,51275.00494518653,53598.35
2022-11-17,51291.108594565136,53274.63
2022-11-18,51153.38903949681,54416.69
2022-11-19,47692.350569553644,48202.39
2022-11-20,43627.97514171745,42444.54
2022-11-21,49652.7389100964,49310.69
2022-11-22,51425.92849432436,51923.16
2022-11-23,51322.79168781185,53134.7
2022-11-24,51338.89533983043,52385.2
2022-11-25,51201.175787414904,52704.23
2022-11-26,47740.13732011623,48444.97
2022-11-27,43675.76189492631,46325.12
2022-11-28,49700.52566593233,52680.84
2022-11-29,51473.71525282647,54061.9
2022-11-30,51370.57844896267,54202.12
2022-12-01,51386.68210098032,51867.43
2022-12-02,51248.962548559306,50195.11
2022-12-03,47787.924081256606,45946.35
2022-12-04,43723.54865606878,45441.64
2022-12-05,52248.48073332338,52138.03
2022-12-06,53648.972269490994,53482.73
2022-12-07,51418.36521010212,54333.54
2022-12-08,51434.468861742585,53604.08
2022-12-09,51296.7493089375,54895.81
2022-12-10,47835.710841238004,50911.89
2022-12-11,43771.33541566765,47478.51
2022-12-12,49796.09918629777,51426.18
2022-12-13,51569.288772793756,54230.25
2022-12-14,51466.15196853959,55521.66
2022-12-15,51482.25562017912,53587.98
2022-12-16,51344.53606736853,55688.5
2022-12-17,47883.497599665025,50074.59
2022-12-18,43819.12217410097,42051.95
2022-12-19,49843.88594473399,47948.88
2022-12-20,51617.0755312274,48588.29
2022-12-21,51513.93872697136,48882.63
2022-12-22,51530.04237860937,50010.08
2022-12-23,51392.32282616133,49597.95
2022-12-24,47931.28435880819,43191.56
2022-12-25,43866.90893360539,37085.31
2022-12-26,49891.672704597666,44375.99
2022-12-27,51664.862291443205,43541.63
2022-12-28,51561.72548754563,44045.93
2022-12-29,51577.829139538844,41285.95
2022-12-30,51440.109587079685,36209.09
2022-12-31,47979.07111975376,32846.34
2023-01-01,34440.20724492609,34928.8
